,TN,TSCM,TEFF,TPEX,TCM,TEM,TEX,TEMRA
ENSG10010135981.1,2.79495951173447,1.06462273128384,0,0,2.71195737060791,3.080665516885,3.25709148312356,3.27344282902508
ENSG10010135983.1,0.0901905886432304,0.0218472592068579,0,0,0.0550648153065812,0,0.179764786746383,0
ENSG10010135998.1,0.204443674458651,0.147398248503642,0,0,0.0556358354233616,0.222685261588688,0.0913706465316047,0.221165257824292
ENSG10010135999.1,0.0253980063042883,0.0218472592068579,0,0.0804974403267183,0.13775848019701,0.0935357664629665,0.175057090072247,0.185564367411309
ENSG10010136017.1,0,0.0255424700729339,0,0,0.080796145216096,0,0.0889914984989094,0
ENSG10010136025.2,0,0.0951591658188187,0,0,0,0.215706540461435,0,0.0542293209875972
ENSG10010136051.1,0.198066443772273,0.226678360970922,0.0843668483195102,0.555587406903072,0.1878142414275,0.369048687555647,0.0907732882474734,0.301775095406781
ENSG10010136084.3,0.353030635303798,0.0500521071613501,0,0,0.1182655512513,0.326624721287823,0.184611383119911,0.121308304057692
ENSG10010136093.1,0.209389371936214,0.258318274349387,0,0,0.130877393831147,0.172380915811473,0.298139368833493,0.0619109572047185
ENSG10010136111.1,0.0160226938522376,0,0,0,0,0.112609082750473,0,0.123523524116599
ENSG10010136112.1,0.0486268447351141,0.0747207313178672,0,0.0634815404399279,0,0.0640775684821135,0.228525271574833,0
ENSG10010136122.1,0.0969479431650532,0.154813069224798,0.04633667108569,0.0694109700329808,0.149734113645114,0.129422518800071,0.37487011360887,0.110429954627678
ENSG10010136138.1,1.87447214680291,0.748088551730271,0,0.63354568064037,1.75578772859585,1.75603119785354,1.42188618329526,2.01598508004138
ENSG10010136139.1,0.281574501010143,0.173126039938398,0,0,0.20686452424289,0.541046526443147,0,0.210258478606533
ENSG10010136140.1,0.0264746229796515,0,0,0,0.0843461654566446,0.125041510841044,0.102797474882814,0.121308304057692
ENSG10010136165.1,0.1879802092334,0.10294038870881,0,0,0.0791498640044971,0.045954050346369,0.179764786746383,0.311812979106914
ENSG10010136167.1,0.112956106750165,0.152477882422391,0,0,0.171079615725919,0.0522822057401512,0.142681500431977,0
ENSG10010136168.1,0.094478871290009,0,0,0,0.0395047533726952,0.145848529152183,0.308428997038821,0
ENSG10010136174.1,0.231522744949956,0.0445117015757424,0,0,0.314022709752599,0.347082188464393,0.387483539395122,0.550441255690216
ENSG10010136181.1,0.0798340493712438,0,0,0,0,0.0760715539529368,0,0.0367800329019447
ENSG10010136194.1,0.0866153221276393,0.0677928847353237,0,0,0,0,0,0
ENSG10010136195.1,0.198517660869221,0.210340709653309,0,0,0.153115122160474,0.220828945072342,0.354504521430255,0.177286303672412
ENSG10010136203.1,0.192658021324652,0.0874212161864032,0,0,0.185225079870911,0.323335427264136,0.0695312349139365,0.244061124619021
ENSG10010136207.1,0.0518726292839398,0,0,0,0.0487240035857144,0.0803767215260434,0,0.125531067263097
ENSG10010136211.1,0.052813591453255,0.0632413367770542,0,0.454934482151039,0,0.298316104813896,0.102797474882814,0
ENSG10010136215.1,0.425982974214305,0.166470513295626,0,0.239815514729399,0.457570188764453,0.399349403642506,0.100875530972986,0.403358619547225
ENSG10010136217.1,0.325592583219309,0.113381593108202,0.197303449834927,0.15842175761903,0.264931572131727,0.235407544875273,0.354941373255582,0.0845257103460433
ENSG10010136220.1,0,0,0,0,0.0525961865638588,0.09513839292909,0.0907732882474734,0.0303870354256704
ENSG10010136244.1,0.0296606301010306,0.0946850162599978,0,0.0949402171791018,0,0.0618759614304081,0,0.0564445410465046
ENSG10010136256.1,0.508205576933283,0.130249066244497,0,0,0.365932350143339,0.20754652445164,0.653874931031805,0.270141424445547
ENSG10010136267.1,0.0412642156866243,0,0,0,0,0.028581070153491,0,0.109608108004463
ENSG10010136286.1,0.235549201210955,0.0842386465893527,0,0,0.258599204721244,0.210086235005532,0.184611383119911,0.162931104673514
ENSG10010136287.1,0.030419164567338,0,0,0,0.0924969069991888,0.0470805253254367,0,0
ENSG10010136290.1,0.357599439036318,0.252739850031014,0.0350226011235426,0,0.231768108069107,0.245263380580278,0.80226965214383,0.274731531686847
ENSG10010136291.1,0.0432706913335887,0,0,0,0,0.0475353271492433,0,0.111137129769961
ENSG10010136292.1,0.274468043085896,0.0979765485465945,0,0.154439550630591,0.206512079597532,0.194489825366945,0.217689552985331,0.373063897956832
ENSG10010136303.1,0.0456833239532682,0.0905970196507817,0,0,0,0.0264519507451728,0.334629529481632,0.10301396503549
ENSG10010136307.1,0,0,0,0,0,0.0227175595499643,0,0
ENSG10010136308.1,0,0.161005454956781,0,0,0,0.0277183869271046,0.28157502333779,0
ENSG10010136316.1,0,0.0168460618040829,0,0,0,0.0685638935249248,0.0889914984989094,0.0800429192020073
ENSG10010136331.1,0.0689668140202688,0,0,0,0,0.0227175595499643,0,0.102129897138626
ENSG10010136340.1,0.0264746229796515,0.0401051856586805,0,0.316628896266885,0,0.0284720515160762,0,0.0670789830700946
ENSG10010136341.1,0,0,0,0,0,0,0,0.0636201100583781
ENSG10010136359.1,0.0743563871217122,0.0693860886862204,0,0.194620662941689,0.218446463483027,0.0284720515160762,0.14752711559328,0.0432473760797833
ENSG10010136392.1,0,0,0,0,0,0,0.0890730068711296,0
ENSG10010136401.1,0.446518448158684,0.22655182371448,0,0,0.732962148663901,0.537498368572763,0.595689684417272,0.432396201236742
ENSG10010136411.1,0,0.0255424700729339,0,0,0,0,0.184611383119911,0
ENSG10010136418.1,0.263380178840812,0.108978501883463,0,0,0.109148145381431,0.301568646605724,0.350420120881699,0.430292093678145
ENSG10010136426.1,0.924563394802329,0.659640434074961,0,0,1.11880676486143,1.42900778640792,1.79265570095245,1.30471917171885
ENSG10010136427.1,0.126079770142717,0.0175734991786487,0,0,0.143318342528625,0.0594388181774671,0,0.0670789830700946
ENSG10010136441.1,0.0286742494195693,0.0415145207526224,0,0,0.232137786726212,0.135096589272819,0.139566760874492,0.212466432461049
ENSG10010136467.1,0,0.0649528395141524,0,0,0,0.142300423933192,0,0.0597665889557064
ENSG10010136469.1,0.557201750247054,0.182712756060771,0,0,0.41768705022447,0.487547986808421,0.368130019628223,0.583764198423155
ENSG10010136487.1,0.0724648426872379,0.0248256233296969,0,0,0.0395807574456658,0.166543272215563,0.10612816281365,0.0367800329019447
ENSG10010136491.1,0.233048505902852,0.15313161962201,0.04633667108569,0,0.0990026087418825,0.245841014825929,0.513009948808011,0.332868426225197
ENSG10010136497.1,0.107966008141871,0.115766431459632,0,0.0804974403267183,0.211912758425655,0.173398893842724,0,0.113995909943304
ENSG10010136505.1,0.0582306185551726,0.0601098604404187,0,0.193996835042336,0.0779087319618544,0,0,0.113941044414238
ENSG10010136515.1,0.914481248669245,0.433409587988024,0,0,0.561848727856267,0.903652192441499,1.76295517210755,1.56603673869054
ENSG10010136559.1,0.27769556436443,0.0548331306738974,0,0.0739421103038731,0.147496552308362,0.246270585958101,0.0955889702022645,0.0678588266062319
ENSG10010136563.1,0.192173078063033,0.180793056370482,0,0.391637729171546,0.0946692983385326,0.123193843569237,0.346421620765082,0.137572104232895
ENSG10010136565.1,0.310564921078809,0.0301999169751085,0,0,0.080796145216096,0.150256240276023,0,0.461623656137769
ENSG10010136577.1,0.0308425087659835,0.0299099434653102,0,0,0.0527115390848705,0.0487021375227885,0.102797474882814,0.0498415190487564
ENSG10010136622.1,0.109510971775934,0.148629938486117,0,0.106075351084445,0,0.299791671258217,0.411363774984007,0.27850384975807
ENSG10010136629.1,0.0538572967845144,0,0,0,0,0,0.234774351943718,0.150940730841425
ENSG10010136633.1,0.269754758096372,0.147489327674957,0,0,0.325427009797842,0.171892567036995,0.0907732882474734,0.161009068653127
ENSG10010136650.1,0.52879996481748,0.655910512276501,0.0825628756869535,0.853062902388043,0.281532747381522,0.555263096845608,0.549784562172447,0.34650115162007
ENSG10010136654.1,0.258479664841228,0.172967155860447,0,0.194620662941689,0.309941013678753,0.341730932043432,0.195119661312559,0.428430732088499
ENSG10010136656.1,0.255659222880117,0.0927384336464556,0,0,0.256164961370945,0.176530457999062,0.247412366047253,0.257816385850661
ENSG10010136661.1,0.0257378813215154,0.0947559079454696,0,0,0,0.145886588627863,0,0
ENSG10010136670.1,0.591483683610346,0.150541382452869,0,0,0.378248321120042,0.472589955895236,0.249296021660319,0.399254501804105
ENSG10010136693.1,0.17879814138864,0.133342382869828,0,0,0.0887623757819142,0.301903691893428,0.212544934096974,0
ENSG10010136694.1,0.0387462643786424,0.0634066803921648,0,0.271709335237114,0,0.0445581738131276,0.0955889702022645,0.0690732567203256
ENSG10010136707.1,0.0697904533413379,0.055357245118594,0,0.0635386820666779,0.0846488454049575,0.161609956510301,0.671139683096391,0.157948821335182
ENSG10010136708.1,0.0200465237885076,0,0,0.0804974403267183,0,0.0507923448625876,0,0
ENSG10010136737.1,0.281362705133558,0.231700320066852,0.160475244092993,0,0.139564703030856,0.289734167249397,0.0951005648786337,0.404404933421565
ENSG10010136765.1,0.0986437370634502,0.00707797389035713,0,0.178043385979376,0.113452205870131,0.106588632016575,0.399019710862705,0.128539452190896
ENSG10010136773.1,0.0877967093170203,0.0248256233296969,0,0,0,0.200958141470334,0.184611383119911,0.284834207953804
ENSG10010136777.1,0.201380962563508,0.289777718291588,0.143396984041629,0.40904812736752,0.0553956123718083,0.314302310420792,0.406096515777787,0.467739993313808
ENSG10010136786.1,0.280582773300216,0.121506701056418,0,0,0.456849238762101,0.445032454586761,0.229370388130895,0.481582130134783
ENSG10010136797.1,0.088031751730806,0.0993528610111619,0,0.108239366494625,0.0470079920778569,0.0341805744009862,0,0.234215700619612
ENSG10010136798.1,0.278589621015346,0.0550255403048054,0,0,0.0527115390848705,0.297748673077948,0,0.312621075355994
ENSG10010136800.1,0.0218632091988043,0.10618054890237,0,0,0.0809432745512159,0.143881471230833,0,0
ENSG10010136829.1,0.214917365947561,0.155979756128434,0,0,0.0758125785245659,0.13172322246124,0.405955064725396,0.109608108004463
ENSG10010136833.1,0.862105090844758,0.491363132942606,0,0,0.540126547074178,1.17743361614373,1.15161035893556,0.929753576440812
ENSG10010136839.1,0,0,0,0,0,0.0227175595499643,0,0
ENSG10010136859.1,0.240430667315813,0.0301999169751085,0,0.0804974403267183,0.0525961865638588,0.0545476432337173,0,0.235996203368938
ENSG10010136867.1,0,0,0,0,0,0,0.0890730068711296,0
ENSG10010136893.2,0,0.0299099434653102,0,0,0,0,0.237149816570304,0.0498415190487564
ENSG10010136897.1,0.0676775856248302,0.0255424700729339,0,0,0,0.0937767965565773,0.208401884141884,0.0498415190487564
ENSG10010136902.1,0.144800490006996,0.22952455044225,0.0637807557165521,0.130013155385652,0.234293207231307,0.148163551695914,0.136533786293545,0.127517692273395
ENSG10010136930.1,0.180213385949304,0.0890492445220608,0,0,0.117753268980942,0.180991751169137,0.113301319263251,0.209068188010586
ENSG10010136933.1,0,0,0,0,0,0.0338236759705845,0,0.107342186078505
ENSG10010136942.1,0.0286742494195693,0,0,0,0,0.0548003633629354,0,0
ENSG10010136954.1,0.42053091256962,0.0773236203963125,0,0,0.245212447490062,0.203352579607742,0.148158318071394,0.117920867702067
